waypoint1	waypoint2	distance_m	duration_s
200 E Colfax Ave, Denver, CO 80203	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	2024609	65184
300 SW 10th Ave, Topeka, KS 66612	Utah State Capitol, Salt Lake City, UT 84103	1694356	54275
Oklahoma State Capitol, Oklahoma City, OK 73105	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	2057100	68007
Maine State House, Augusta, ME 04330	New Mexico State Capitol, Santa Fe, NM 87501	3823705	124674
Nevada State Capitol, Carson City, NV 89701	North Dakota State Capitol, Bismarck, ND 58501	2234268	73235
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	3618995	117435
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	2255678	76570
Nevada State Capitol, Carson City, NV 89701	North Carolina State Capitol, Raleigh, NC 27601	4328609	140007
Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	New Jersey State House, Trenton, NJ 08608	2071197	68091
400-498 N West St, Jackson, MS 39201	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	1373991	47696
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	4310134	140169
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Maryland State House, 100 State Cir, Annapolis, MD 21401	530890	18770
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Nevada State Capitol, Carson City, NV 89701	4337141	142258
New York State Capitol, State St. and Washington Ave, Albany, NY 12224	North Carolina State Capitol, Raleigh, NC 27601	1038859	35230
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Vermont State House, 115 State Street, Montpelier, VT 05633	4207835	139887
Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	500 E Capitol Ave, Pierre, SD 57501	2341717	76386
Michigan State Capitol, Lansing, MI 48933	West Virginia State Capitol, Charleston, WV 25317	682478	24362
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	Virginia State Capitol, Richmond, VA 23219	827652	27456
700 W Jefferson St, Boise, ID 83720	Rhode Island State House, 82 Smith Street, Providence, RI 02903	4262023	138215
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Illinois State Capitol, Springfield, IL 62756	2502392	81444
