waypoint1	waypoint2	distance_m	duration_s
Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	1202866	39984
Oklahoma State Capitol, Oklahoma City, OK 73105	500 E Capitol Ave, Pierre, SD 57501	1178219	41253
New Jersey State House, Trenton, NJ 08608	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	201751	7171
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	New Mexico State Capitol, Santa Fe, NM 87501	2160641	69937
Maryland State House, 100 State Cir, Annapolis, MD 21401	Minnesota State Capitol, St Paul, MN 55155	1819133	60402
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	New Mexico State Capitol, Santa Fe, NM 87501	3392653	110964
Maryland State House, 100 State Cir, Annapolis, MD 21401	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	179018	6832
700 W Jefferson St, Boise, ID 83720	State House, 107 North Main Street, Concord, NH 03303	4249912	140637
Louisiana State Capitol, Baton Rouge, LA 70802	Minnesota State Capitol, St Paul, MN 55155	1900670	63258
L St & 10th St, Sacramento, CA 95814	Nevada State Capitol, Carson City, NV 89701	209218	9492
Oklahoma State Capitol, Oklahoma City, OK 73105	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	3237920	104239
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	Wyoming State Capitol, Cheyenne, WY 82001	1925731	63029
Illinois State Capitol, Springfield, IL 62756	500 E Capitol Ave, Pierre, SD 57501	1322600	42941
700 W Jefferson St, Boise, ID 83720	Virginia State Capitol, Richmond, VA 23219	3926605	126699
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	2326097	77034
Missouri State Capitol, Jefferson City, MO 65101	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	1200610	41701
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	3389980	111530
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	North Carolina State Capitol, Raleigh, NC 27601	1426807	47516
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	470503	16570
Michigan State Capitol, Lansing, MI 48933	400-498 N West St, Jackson, MS 39201	1486311	47724
400-498 N West St, Jackson, MS 39201	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	4113442	134257
Missouri State Capitol, Jefferson City, MO 65101	Nevada State Capitol, Carson City, NV 89701	2835852	92543
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	North Carolina State Capitol, Raleigh, NC 27601	1779299	59546
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	North Carolina State Capitol, Raleigh, NC 27601	1000207	34437
State House, 107 North Main Street, Concord, NH 03303	New Jersey State House, Trenton, NJ 08608	543084	19316
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Oklahoma State Capitol, Oklahoma City, OK 73105	1274629	41754
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	1063689	35632
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	North Carolina State Capitol, Raleigh, NC 27601	598142	21046
Indiana State Capitol, Indianapolis, IN 46204	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	1760623	57204
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	New Jersey State House, Trenton, NJ 08608	3586077	117801
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	1013498	34490
Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	Virginia State Capitol, Richmond, VA 23219	2029907	66952
Georgia State Capitol, Atlanta, GA 30334	West Virginia State Capitol, Charleston, WV 25317	804563	26898
700 W Jefferson St, Boise, ID 83720	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	3240865	103619
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	L St & 10th St, Sacramento, CA 95814	3817403	125078
L St & 10th St, Sacramento, CA 95814	Maine State House, Augusta, ME 04330	5100256	164805
Louisiana State Capitol, Baton Rouge, LA 70802	West Virginia State Capitol, Charleston, WV 25317	1551493	50514
L St & 10th St, Sacramento, CA 95814	Rhode Island State House, 82 Smith Street, Providence, RI 02903	4831450	156502
Massachusetts State House, Boston, MA 02108	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	5039595	164778
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	1718291	56304
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Maine State House, Augusta, ME 04330	859608	29656
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	1622824	52106
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	2897220	94794
State House, 107 North Main Street, Concord, NH 03303	Virginia State Capitol, Richmond, VA 23219	981891	34138
Nevada State Capitol, Carson City, NV 89701	500 E Capitol Ave, Pierre, SD 57501	2192372	71589
State House, 107 North Main Street, Concord, NH 03303	Utah State Capitol, Salt Lake City, UT 84103	3789540	126346
State House, 107 North Main Street, Concord, NH 03303	New Mexico State Capitol, Santa Fe, NM 87501	3556272	118566
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	743518	24744
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	West Virginia State Capitol, Charleston, WV 25317	322222	10874
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Vermont State House, 115 State Street, Montpelier, VT 05633	2157758	72124
Maine State House, Augusta, ME 04330	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	520684	17602
200 E Colfax Ave, Denver, CO 80203	North Carolina State Capitol, Raleigh, NC 27601	2688370	87227
South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	500 E Capitol Ave, Pierre, SD 57501	2535022	82038
400-498 N West St, Jackson, MS 39201	Vermont State House, 115 State Street, Montpelier, VT 05633	2379235	80369
Oklahoma State Capitol, Oklahoma City, OK 73105	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	625486	20682
700 W Jefferson St, Boise, ID 83720	Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	2192328	69739
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Massachusetts State House, Boston, MA 02108	2337721	77777
Oregon State Capitol, 900 Court St NE, Salem, OR 97301	2 E Main St, Madison, WI 53703	3286034	106782
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	West Virginia State Capitol, Charleston, WV 25317	1187217	39049
New Jersey State House, Trenton, NJ 08608	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	2735276	89317
402 S Monroe St, Tallahassee, FL 32301	Maryland State House, 100 State Cir, Annapolis, MD 21401	1454024	46342
L St & 10th St, Sacramento, CA 95814	Virginia State Capitol, Richmond, VA 23219	4496033	144986
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	3833375	124063
Oklahoma State Capitol, Oklahoma City, OK 73105	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	3141325	101565
Illinois State Capitol, Springfield, IL 62756	Maryland State House, 100 State Cir, Annapolis, MD 21401	1302845	44248
Louisiana State Capitol, Baton Rouge, LA 70802	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	2390708	77703
Nevada State Capitol, Carson City, NV 89701	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	4159337	133794
Minnesota State Capitol, St Paul, MN 55155	Oklahoma State Capitol, Oklahoma City, OK 73105	1265804	40245
Louisiana State Capitol, Baton Rouge, LA 70802	Massachusetts State House, Boston, MA 02108	2546224	84014
400-498 N West St, Jackson, MS 39201	New Mexico State Capitol, Santa Fe, NM 87501	1678832	55222
Oregon State Capitol, 900 Court St NE, Salem, OR 97301	500 E Capitol Ave, Pierre, SD 57501	2250703	76462
Illinois State Capitol, Springfield, IL 62756	Nevada State Capitol, Carson City, NV 89701	2967815	97213
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	New Mexico State Capitol, Santa Fe, NM 87501	2069385	68967
New Mexico State Capitol, Santa Fe, NM 87501	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	2404888	81644
402 S Monroe St, Tallahassee, FL 32301	New Jersey State House, Trenton, NJ 08608	1685972	54439
400-498 N West St, Jackson, MS 39201	New Jersey State House, Trenton, NJ 08608	1860894	60845
New York State Capitol, State St. and Washington Ave, Albany, NY 12224	500 E Capitol Ave, Pierre, SD 57501	2598339	84713
Vermont State House, 115 State Street, Montpelier, VT 05633	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	4928201	162584
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	300 SW 10th Ave, Topeka, KS 66612	780685	25583
400-498 N West St, Jackson, MS 39201	Wyoming State Capitol, Cheyenne, WY 82001	2107521	68477
Georgia State Capitol, Atlanta, GA 30334	Massachusetts State House, Boston, MA 02108	1737928	59108
North Dakota State Capitol, Bismarck, ND 58501	2 E Main St, Madison, WI 53703	1115357	36208
Georgia State Capitol, Atlanta, GA 30334	700 W Jefferson St, Boise, ID 83720	3497880	113151
Maryland State House, 100 State Cir, Annapolis, MD 21401	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	4623494	151186
Illinois State Capitol, Springfield, IL 62756	North Dakota State Capitol, Bismarck, ND 58501	1530029	48958
Massachusetts State House, Boston, MA 02108	Vermont State House, 115 State Street, Montpelier, VT 05633	289370	9941
400-498 N West St, Jackson, MS 39201	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	1662623	54249
L St & 10th St, Sacramento, CA 95814	700 W Jefferson St, Boise, ID 83720	894846	30743
Indiana State Capitol, Indianapolis, IN 46204	Rhode Island State House, 82 Smith Street, Providence, RI 02903	1446932	49583
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	3794792	125852
Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	4457922	144465
200 E Colfax Ave, Denver, CO 80203	2 E Main St, Madison, WI 53703	1554292	50176
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Nevada State Capitol, Carson City, NV 89701	3674572	122203
Massachusetts State House, Boston, MA 02108	Oklahoma State Capitol, Oklahoma City, OK 73105	2710778	88910
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	1894156	61701
Maine State House, Augusta, ME 04330	Maryland State House, 100 State Cir, Annapolis, MD 21401	936417	32303
Maine State House, Augusta, ME 04330	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	2025749	67362
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	495299	16807
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	New Jersey State House, Trenton, NJ 08608	292773	10857
700 W Jefferson St, Boise, ID 83720	400-498 N West St, Jackson, MS 39201	3256677	105603
Michigan State Capitol, Lansing, MI 48933	North Carolina State Capitol, Raleigh, NC 27601	1191326	41792
South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	711401	23955
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	Wyoming State Capitol, Cheyenne, WY 82001	1012033	32471
Nevada State Capitol, Carson City, NV 89701	Rhode Island State House, 82 Smith Street, Providence, RI 02903	4660609	150676
New Jersey State House, Trenton, NJ 08608	Oklahoma State Capitol, Oklahoma City, OK 73105	2251699	74305
Maine State House, Augusta, ME 04330	Michigan State Capitol, Lansing, MI 48933	1501728	50114
Illinois State Capitol, Springfield, IL 62756	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	1596033	52813
Massachusetts State House, Boston, MA 02108	Utah State Capitol, Salt Lake City, UT 84103	3808444	124484
Indiana State Capitol, Indianapolis, IN 46204	New Mexico State Capitol, Santa Fe, NM 87501	2049550	66536
Rhode Island State House, 82 Smith Street, Providence, RI 02903	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	1729221	57559
State House, 107 North Main Street, Concord, NH 03303	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	4959988	163584
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	Oklahoma State Capitol, Oklahoma City, OK 73105	1296244	42143
Missouri State Capitol, Jefferson City, MO 65101	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	1412471	46428
Michigan State Capitol, Lansing, MI 48933	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	1165493	38018
Illinois State Capitol, Springfield, IL 62756	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	3352808	110170
Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	1987306	65021
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	300 SW 10th Ave, Topeka, KS 66612	1939554	65897
Indiana State Capitol, Indianapolis, IN 46204	Minnesota State Capitol, St Paul, MN 55155	942437	31121
L St & 10th St, Sacramento, CA 95814	Indiana State Capitol, Indianapolis, IN 46204	3518769	112828
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	4661431	152159
Georgia State Capitol, Atlanta, GA 30334	North Dakota State Capitol, Bismarck, ND 58501	2501339	79835
Maine State House, Augusta, ME 04330	Minnesota State Capitol, St Paul, MN 55155	2483764	81964
Maryland State House, 100 State Cir, Annapolis, MD 21401	400-498 N West St, Jackson, MS 39201	1637909	53814
Georgia State Capitol, Atlanta, GA 30334	Indiana State Capitol, Indianapolis, IN 46204	860906	28699
L St & 10th St, Sacramento, CA 95814	Maryland State House, 100 State Cir, Annapolis, MD 21401	4434054	143089
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Rhode Island State House, 82 Smith Street, Providence, RI 02903	1946141	65329
Oklahoma State Capitol, Oklahoma City, OK 73105	West Virginia State Capitol, Charleston, WV 25317	1611886	51950
State House, 107 North Main Street, Concord, NH 03303	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	3249794	106835
Louisiana State Capitol, Baton Rouge, LA 70802	Michigan State Capitol, Lansing, MI 48933	1767813	56700
North Dakota State Capitol, Bismarck, ND 58501	Wyoming State Capitol, Cheyenne, WY 82001	960322	32995
Oregon State Capitol, 900 Court St NE, Salem, OR 97301	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	4520252	147138
Indiana State Capitol, Indianapolis, IN 46204	Oklahoma State Capitol, Oklahoma City, OK 73105	1185153	38742
Vermont State House, 115 State Street, Montpelier, VT 05633	West Virginia State Capitol, Charleston, WV 25317	1307878	45950
Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	2 E Main St, Madison, WI 53703	1307343	43951
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	1942564	64230
Minnesota State Capitol, St Paul, MN 55155	Missouri State Capitol, Jefferson City, MO 65101	816553	28033
Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	Utah State Capitol, Salt Lake City, UT 84103	2767412	89571
North Carolina State Capitol, Raleigh, NC 27601	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	867080	29310
Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	2 E Main St, Madison, WI 53703	781082	26238
Maryland State House, 100 State Cir, Annapolis, MD 21401	500 E Capitol Ave, Pierre, SD 57501	2446586	80052
Maine State House, Augusta, ME 04330	Utah State Capitol, Salt Lake City, UT 84103	4056973	132453
Maryland State House, 100 State Cir, Annapolis, MD 21401	Missouri State Capitol, Jefferson City, MO 65101	1555722	52789
Louisiana State Capitol, Baton Rouge, LA 70802	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	1926794	62541
Louisiana State Capitol, Baton Rouge, LA 70802	State House, 107 North Main Street, Concord, NH 03303	2641198	86952
Louisiana State Capitol, Baton Rouge, LA 70802	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	692703	23358
South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	West Virginia State Capitol, Charleston, WV 25317	569053	19334
Michigan State Capitol, Lansing, MI 48933	2 E Main St, Madison, WI 53703	597506	20133
Louisiana State Capitol, Baton Rouge, LA 70802	Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	3232764	104722
State House, 107 North Main Street, Concord, NH 03303	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	1227308	43234
Georgia State Capitol, Atlanta, GA 30334	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	912886	29928
L St & 10th St, Sacramento, CA 95814	400-498 N West St, Jackson, MS 39201	3427740	111242
402 S Monroe St, Tallahassee, FL 32301	700 W Jefferson St, Boise, ID 83720	3890851	127583
Rhode Island State House, 82 Smith Street, Providence, RI 02903	Vermont State House, 115 State Street, Montpelier, VT 05633	367228	12578
Illinois State Capitol, Springfield, IL 62756	New Jersey State House, Trenton, NJ 08608	1409180	47283
402 S Monroe St, Tallahassee, FL 32301	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	1577371	50978
Oklahoma State Capitol, Oklahoma City, OK 73105	Rhode Island State House, 82 Smith Street, Providence, RI 02903	2630826	87665
Massachusetts State House, Boston, MA 02108	West Virginia State Capitol, Charleston, WV 25317	1209764	41003
Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	3473890	118190
402 S Monroe St, Tallahassee, FL 32301	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	790832	27781
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	2 E Main St, Madison, WI 53703	1135904	38486
Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	609386	20588
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	700 W Jefferson St, Boise, ID 83720	1480533	50206
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	737764	24681
North Carolina State Capitol, Raleigh, NC 27601	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	365501	12044
Missouri State Capitol, Jefferson City, MO 65101	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	3220845	105500
Virginia State Capitol, Richmond, VA 23219	West Virginia State Capitol, Charleston, WV 25317	507154	17005
402 S Monroe St, Tallahassee, FL 32301	Missouri State Capitol, Jefferson City, MO 65101	1496335	50530
402 S Monroe St, Tallahassee, FL 32301	New Mexico State Capitol, Santa Fe, NM 87501	2364174	78740
North Dakota State Capitol, Bismarck, ND 58501	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	2049900	66261
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	1282062	43278
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	North Dakota State Capitol, Bismarck, ND 58501	1074658	34150
Illinois State Capitol, Springfield, IL 62756	Missouri State Capitol, Jefferson City, MO 65101	312964	12167
Illinois State Capitol, Springfield, IL 62756	Utah State Capitol, Salt Lake City, UT 84103	2121657	69876
Vermont State House, 115 State Street, Montpelier, VT 05633	Wyoming State Capitol, Cheyenne, WY 82001	3050515	102167
Nevada State Capitol, Carson City, NV 89701	West Virginia State Capitol, Charleston, WV 25317	3819761	122578
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	400-498 N West St, Jackson, MS 39201	2124093	69880
Maine State House, Augusta, ME 04330	400-498 N West St, Jackson, MS 39201	2529620	83412
Michigan State Capitol, Lansing, MI 48933	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	2165494	69857
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	3864119	126502
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	402 S Monroe St, Tallahassee, FL 32301	3034934	95863
Nevada State Capitol, Carson City, NV 89701	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	3639451	116080
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	200 E Colfax Ave, Denver, CO 80203	1319137	45558
Georgia State Capitol, Atlanta, GA 30334	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	1151813	38016
Maine State House, Augusta, ME 04330	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	1494741	49342
300 SW 10th Ave, Topeka, KS 66612	Rhode Island State House, 82 Smith Street, Providence, RI 02903	2321198	78034
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	1620221	53829
Minnesota State Capitol, St Paul, MN 55155	400-498 N West St, Jackson, MS 39201	1616982	54148
Oregon State Capitol, 900 Court St NE, Salem, OR 97301	Vermont State House, 115 State Street, Montpelier, VT 05633	4989186	165068
Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	Wyoming State Capitol, Cheyenne, WY 82001	1922417	62605
400-498 N West St, Jackson, MS 39201	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	4016847	131583
Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	Wyoming State Capitol, Cheyenne, WY 82001	2580236	84048
200 E Colfax Ave, Denver, CO 80203	Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	3023952	98306
Indiana State Capitol, Indianapolis, IN 46204	West Virginia State Capitol, Charleston, WV 25317	505364	17669
North Dakota State Capitol, Bismarck, ND 58501	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	2635531	85442
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	Nevada State Capitol, Carson City, NV 89701	1439434	46798
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	1760601	57141
Michigan State Capitol, Lansing, MI 48933	North Dakota State Capitol, Bismarck, ND 58501	1702226	54928
North Dakota State Capitol, Bismarck, ND 58501	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	2406031	78585
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	334062	11553
Maryland State House, 100 State Cir, Annapolis, MD 21401	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	1134038	37764
Louisiana State Capitol, Baton Rouge, LA 70802	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	1539070	54996
State House, 107 North Main Street, Concord, NH 03303	2 E Main St, Madison, WI 53703	1809409	63071
300 SW 10th Ave, Topeka, KS 66612	Virginia State Capitol, Richmond, VA 23219	1817890	59299
Georgia State Capitol, Atlanta, GA 30334	Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	659316	21679
Indiana State Capitol, Indianapolis, IN 46204	New Jersey State House, Trenton, NJ 08608	1069304	36197
New Jersey State House, Trenton, NJ 08608	Virginia State Capitol, Richmond, VA 23219	455416	16231
New Jersey State House, Trenton, NJ 08608	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	332135	11529
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Wyoming State Capitol, Cheyenne, WY 82001	2783745	91742
Maryland State House, 100 State Cir, Annapolis, MD 21401	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	1980198	65502
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	500 E Capitol Ave, Pierre, SD 57501	2279926	72939
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Virginia State Capitol, Richmond, VA 23219	1547667	50502
400-498 N West St, Jackson, MS 39201	500 E Capitol Ave, Pierre, SD 57501	1998804	66338
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	New Mexico State Capitol, Santa Fe, NM 87501	1899972	59775
Rhode Island State House, 82 Smith Street, Providence, RI 02903	Virginia State Capitol, Richmond, VA 23219	838607	29440
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Louisiana State Capitol, Baton Rouge, LA 70802	591309	18673
Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	Oklahoma State Capitol, Oklahoma City, OK 73105	696496	22931
300 SW 10th Ave, Topeka, KS 66612	West Virginia State Capitol, Charleston, WV 25317	1312460	42717
Louisiana State Capitol, Baton Rouge, LA 70802	Vermont State House, 115 State Street, Montpelier, VT 05633	2643406	88661
Indiana State Capitol, Indianapolis, IN 46204	Maryland State House, 100 State Cir, Annapolis, MD 21401	962969	33162
Maryland State House, 100 State Cir, Annapolis, MD 21401	North Carolina State Capitol, Raleigh, NC 27601	499503	17017
Indiana State Capitol, Indianapolis, IN 46204	Maine State House, Augusta, ME 04330	1775670	58649
Nevada State Capitol, Carson City, NV 89701	New Jersey State House, Trenton, NJ 08608	4355435	140065
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	500 E Capitol Ave, Pierre, SD 57501	2545226	84081
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	Utah State Capitol, Salt Lake City, UT 84103	2632968	86207
Massachusetts State House, Boston, MA 02108	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	3156481	103939
402 S Monroe St, Tallahassee, FL 32301	Wyoming State Capitol, Cheyenne, WY 82001	2710661	89822
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	North Carolina State Capitol, Raleigh, NC 27601	3628835	120317
South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	Virginia State Capitol, Richmond, VA 23219	596292	18987
Georgia State Capitol, Atlanta, GA 30334	Virginia State Capitol, Richmond, VA 23219	853563	28086
Louisiana State Capitol, Baton Rouge, LA 70802	400-498 N West St, Jackson, MS 39201	283870	9474
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	2148018	70577
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Nevada State Capitol, Carson City, NV 89701	1149381	40582
Minnesota State Capitol, St Paul, MN 55155	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	2746946	88164
